Model,Accuracy,F1-Score,Precision,Recall
mobilenetv2,0.7847222222222222,0.6899640060314217,0.7743928705808139,0.7847222222222222
resnet50,0.7361111111111112,0.6156531519803371,0.7265419223884414,0.7361111111111112
nasnetmobile,0.6944444444444444,0.5897127636863958,0.687872396703419,0.6944444444444444
